Fecha;Hora;Temperatura (ºC);pH;Turbiedad (NTU);"DQO 
08/02/2023;9:00;33.6;7.07;3.06;<100
09/02/2023;9:00;34.1;7.04;3.58;<100
10/02/2023;9:00;35.2;7.07;2.21;<100
13/02/2023;9:00;34.6;7.1;3.72;<100
14/02/2023;9:00;34.5;7.05;2.3;<100
15/02/2023;8:50;32.6;7;2.26;<100
16/02/2023;9:00;32.1;7.29;2.33;<100
17/02/2023;8:50;30.5;7.24;3.59;<100
20/02/2023;9:00;28.4;7.18;2.4;<100
21/02/2023;9:00;28.9;7.26;4.2;<100
22/02/2023;9:10;29.5;7.32;1.72;118
23/02/2023;9:00;30.3;7.3;1.77;<100
24/02/2023;9:45;31.3;7.18;1.75;105
27/02/2023;9:00;30.5;7.17;5.3;103
28/02/2023;9:00;31.1;7.11;2.52;<100
01/03/2023;8:50;32.4;7.18;3.76;<100
02/03/2023;8:50;32.5;7.26;5.45;<100
03/03/2023;9:00;32.5;7.3;6.43;103
06/03/2023;8:45;32.5;7.31;5.85;102
07/03/2023;10:20;33.2;7.36;7.15;108
08/03/2023;9:00;33.9;7.39;4.48;<100
09/03/2023;10:30;34.5;7.38;8.77;126
10/03/2023;10:30;33.9;7.28;5.53;167
13/03/2023;9:00;35;7.28;12.36;146
14/03/2023;9:10;34.8;7.35;6.18;107
15/03/2023;9:00;34.7;7.32;4.08;102
16/03/2023;9:00;34.9;7.31;3.38;<100
17/03/2023;12:00;35.2;7.35;3.98;<100
20/03/2023;9:30;31.7;6.51;7.87;113
21/03/2023;8:45;30;6.63;10.15;126
22/03/2023;8:50;29.1;7.64;5.68;128
23/03/2023;9:00;29.3;7.46;3.4;128
24/03/2023;9:00;30.4;7.59;3.71;138
27/03/2023;9:00;32.5;7.78;6.08;182
28/03/2023;10:00;33.2;7.87;5.63;116
29/03/2023;9:00;33.7;6.75;;117
30/03/2023;9:00;31.4;7.83;;124
31/03/2023;9:00;31.1;7.77;;117
03/04/2023;9.00;29.2;7.88;8.89;130
04/04/2023;8:50;29.5;7.84;5.36;117
05/04/2023;9:15;29.3;7.69;5.13;105
06/04/2023;9:00;29.3;7.62;5.11;131
10/04/2023;9:00;31.3;7.71;5.61;150
11/04/2023;9:00;30.8;7.74;6.26;186
12/04/2023;9:00;31.1;7.81;2.72;<100
13/04/2023;8:50;29.4;7.81;18.6;118
14/04/2023;10:30;29.8;7.43;3.79;144
17/04/2023;8:50;30.4;7.71;9.85;127
18/04/2023;9:00;29.7;7.67;7.32;113
19/04/2023;8:50;28.1;7.72;6.09;115
20/04/2023;8:50;27.6;7.82;5.53;106
21/04/2023;8:50;27.8;7.76;7.38;102
24/04/2023;9:30;30;7.56;5.78;106
25/04/2023;9:00;29.9;7.57;4.92;127
26/04/2023;8:50;31.2;7.9;8.01;118
27/04/2023;9:00;26.8;7.87;7.12;105
28/04/2023;11:30;32.4;7.92;7.78;123
29/04/2023;;;;;168
30/04/2023;;;;;197
01/05/2023;;;;;162
02/05/2023;9:00;28.8;7.91;10.05;164
03/05/2023;9:00;28.6;7.82;9.44;148
04/05/2023;9:30;28.2;7.71;7.67;114
05/05/2023;9:10;28.3;7.72;7.36;115
06/05/2023;;;;;109
07/05/2023;;;;;109
08/05/2023;8:45;29.4;7.91;8.52;118
09/05/2023;8:45;29.1;7.83;9.71;129
10/05/2023;8:50;28.4;7.75;9.71;127
11/05/2023;8:00;27.2;7.7;7.62;124
12/05/2023;9:30;28.5;7.78;4.21;99
13/05/2023;;;;;108
14/05/2023;;;;;105
15/05/2023;9:00;30.3;;;120
16/05/2023;9:00;31.4;7.89;7.84;130
17/05/2023;9:00;31;7.83;10.43;129
18/05/2023;9:00;30.1;7.82;14.64;126
19/05/2023;9:00;28.6;7.81;7.12;133
22/05/2023;9:00;27.9;8.03;13.81;166
23/05/2023;9:00;27.8;7.85;8.35;143
24/05/2023;9:00;28;7.8;13.77;121
25/05/2023;9:00;28.6;7.82;7.38;117
26/05/2023;9:00;28.9;7.84;5.64;113
29/05/2023;9:00;25.1;7.71;6.31;120
30/05/2023;9:00;24.6;7.69;4.06;102
31/05/2023;9:00;24.8;7.72;3.17;85
01/06/2023;9:00;26.5;7.75;3.5;86
02/06/2023;9:00;29.7;7.78;5.46;93
05/06/2023;9:30;30.8;7.79;9.36;101
06/06/2023;9:00;29.9;7.74;6.37;96
07/06/2023;9:00;29.8;7.92;5.08;95
08/06/2023;9:00;30.2;7.91;12.43;116
09/06/2023;8:30;29.4;7.96;4.39;96
12/06/2023;9:00;26.3;7.77;12.15;124
13/06/2023;9:00;25.5;7.9;9.15;121
14/06/2023;9:00;24.8;7.8;12.88;126
15/06/2023;9:00;24.6;7.79;17.81;122
16/06/2023;9:00;24.4;7.82;12.43;126
19/06/2023;9:00;26.4;7.84;27.7;127
20/06/2023;9:00;26.8;7.92;4.84;119
21/06/2023;9:00;27;7.92;8.13;119
22/06/2023;9:00;27.1;7.76;6.63;107
23/06/2023;9:00;26.9;7.66;7.86;122
26/06/2023;9:00;28.5;7.84;15.25;100
27/06/2023;9:00;29.2;7.79;6.79;97
28/06/2023;9:00;28.3;7.95;4.87;92
29/06/2023;9:00;27.5;7.76;5.74;98
30/06/2023;9:00;26.8;7.59;6.21;114
03/07/2023;12:30;27.4;7.82;5.08;95
04/07/2023;9:00;28.1;7.71;6.98;87
05/07/2023;9:00;29.3;7.67;5.41;90
06/07/2023;9:00;29;7.15;16.67;120
07/07/2023;9:00;28.3;7.66;5.05;119
10/07/2023;9:00;27.1;7.66;11.09;97
11/07/2023;9:00;27.3;7.6;5.66;99
12/07/2023;9:00;26.5;7.69;6.27;126
13/07/2023;9:00;25.3;7.65;15.81;118
14/07/2023;9:00;26.6;7.53;6.98;111
17/07/2023;9:30;28.2;7.67;12.12;129
19/07/2023;9:00;28;7.67;15.65;143
20/07/2023;9:00;28.3;7.7;10.23;114
21/07/2023;11:50;29.6;7.68;5.73;118
24/07/2023;9:00;28.5;7.71;11.28;133
25/07/2023;9:00;26.7;7.51;9.4;160
26/07/2023;9:00;27.5;7.65;16.03;135
27/07/2023;9:00;27.4;7.58;8.29;121
28/07/2023;9:00;27.2;7.52;11.19;122
31/07/2023;9:00;24.9;7.54;19;93
01/08/2023;9:00;25.4;7.44;3.09;100
02/08/2023;9:30;27.4;7.53;8.48;84
03/08/2023;9:00;26.3;7.46;5.91;105
04/08/2023;7:30;28.2;7.55;5.68;110
07/08/2023;8:30;27.3;7.65;16.02;108
08/08/2023;9:15;26.9;7.47;9.7;128
09/08/2023;8:30;27.6;7.61;18.19;138
10/08/2023;9:00;29;7.47;10.58;98
11/08/2023;9:30;30.4;7.44;8.89;104
14/08/2023;9:15;28.4;7.44;22.7;154
15/08/2023;9:00;29.8;7.61;6.86;131
16/08/2023;9:00;30.2;7.59;3.65;122
17/08/2023;9:00;28.9;7.51;7.96;113
18/08/2023;9:00;28.2;7.71;11.98;130
21/08/2023;8:15;26.2;7.37;5.55;112
22/08/2023;9:00;26.4;7.49;9.01;150
23/08/2023;9:00;27.9;7.45;5.25;135
24/08/2023;9:00;27.7;7.53;3.7;141
28/08/2023;9:00;26.3;7.41;27.9;253
29/08/2023;9:00;25.6;7.39;35.7;268
30/08/2023;9:00;24.7;7.45;30.5;222
31/08/2023;9:00;25;7.5;11.79;172
01/09/2023;9:00;23.6;7.5;11.82;168
04/09/2023;9:00;22.7;7.55;12.54;163
05/09/2023;9:00;21.9;7.58;9.08;186
06/09/2023;9:00;21.6;7.61;10.89;171
07/09/2023;8:30;20.5;7.52;4.87;154
08/09/2023;9:00;20.3;7.54;5.86;208
11/09/2023;9:00;20.8;7.66;5.12;103
12/09/2023;9:00;21.1;7.67;4.45;99
13/09/2023;9:00;20.5;7.66;9.17;127
14/09/2023;9:00;20.3;7.45;3.25;128
15/09/2023;9:00;20.4;7.64;2.51;119
18/09/2023;9:00;19.7;7.85;3.45;83
19/09/2023;9:00;19.3;7.85;6.64;122
20/09/2023;9:00;19.4;7.83;28;104
21/09/2023;9:00;20.4;7.74;17.8;106
22/09/2023;9:00;20.6;7.84;4.12;90
25/09/2023;9:00;19.4;7.72;7.49;111
26/09/2023;9:00;19;7.86;7.59;126
27/09/2023;9:00;20.5;7.71;6.48;96
28/09/2023;9:00;19.9;7.85;12.63;93
29/09/2023;9:00;21.1;7.91;4.15;87
02/10/2023;9:00;21.2;7.92;6.99;114
03/10/2023;9:00;21.2;7.99;9.77;79
04/10/2023;9:00;21.9;7.64;5.64;81
05/10/2023;9:00;21.9;7.48;5.52;85
06/10/2023;9:00;22.1;7.44;3.54;115
09/10/2023;9:00;23.1;7.6;9.18;80
10/10/2023;9:00;24.2;7.52;12.2;72
11/10/2023;9:00;23.4;7.56;23.5;36
12/10/2023;9:00;21.2;7.51;4.68;98
13/10/2023;9:00;21.5;7.62;7.47;150
17/10/2023;9:00;21.8;7.57;35.1;103
18/10/2023;9:00;21.2;7.47;5.76;76
19/10/2023;9:00;21.2;7.71;4.91;83
20/10/2023;9:00;21.4;11.34;44.1;579
23/10/2023;9:00;23.1;9.89;31.6;431
24/10/2023;9:00;22.2;8.74;26.4;272
25/10/2023;9:00;21.9;7.74;21.3;202
26/10/2023;9:00;21.6;7.81;10.68;144
27/10/2023;9:00;21.8;7.9;5.19;124
30/10/2023;9:00;22.7;9.47;11.98;133
31/10/2023;7:45;21.3;9.3;17.6;160
01/11/2023;7:15;19.8;8.17;5.25;108
03/11/2023;9:00;19.6;7.69;3.02;102
06/11/2023;9:00;21.2;7.63;2.68;75
07/11/2023;9:00;21.9;7.65;5.13;90
08/11/2023;9:00;23.9;7.24;29.7;82
09/11/2023;9:00;24.4;7.64;3.68;77
13/11/2023;15:30;23;7.53;5.17;84
14/11/2023;9:00;23.2;7.34;4.49;79
15/11/2023;9:00;23.7;7.05;5.95;103
16/11/2023;10:30;24.6;7.26;3.4;101
17/11/2023;9:30;24.3;7.65;3.29;83
20/11/2023;9:00;24.2;7.43;5.51;75
21/11/2023;9:00;24.9;7.51;2.39;80
22/11/2023;9:00;23.6;7.5;1.71;78
23/11/2023;9:00;24.3;7.26;2.4;94
24/11/2023;9:00;23.9;7.36;1.18;73
27/11/2023;9:00;24.8;7.46;1.39;78
28/11/2023;9:00;25.8;7.28;1.98;83
29/11/2023;9:00;26.4;8.63;2.26;76
30/11/2023;8:45;26.8;7.45;2.34;82
01/12/2023;8:45;27.2;7.36;2.79;80
04/12/2023;9:00;24.4;7.61;4.81;88
05/12/2023;9:00;24.1;7.6;4.12;86
06/12/2023;9:00;24.9;7.59;4.02;67
07/12/2023;9:00;24.7;7.58;3.96;75
08/12/2023;9:00;24;7.79;2.18;73
11/12/2023;9:00;24.2;7.86;3.9;77
26/12/2023;9:00;24.6;7.77;2.82;82
27/12/2023;9:00;24.9;7.38;3.33;84
28/12/2023;9:00;25.5;7.36;2.96;81
29/12/2023;9:00;25.2;7.76;4.02;88
02/01/2024;9:00;24.4;7.58;3.47;156
03/01/2024;9:00;23.7;7.76;2.55;152
04/01/2024;9:00;24.9;7.63;2.77;143
05/01/2024;9:00;24;7.79;2.94;144
08/01/2024;9:10;26.5;7.37;2.41;127
09/01/2024;9:01;26.9;7.85;1.9;139
10/01/2024;8:50;27.7;8.04;2.76;113
11/01/2024;8:50;26.5;6.38;1.55;122
12/01/2024;9:10;25.6;7.37;1.24;134
15/01/2024;9:00;27.1;8.06;1.47;110
16/01/2024;9:01;26.2;8.1;2.53;104
17/01/2024;9:15;26.5;7.83;1.73;107
18/01/2024;9:10;26.8;8.26;1.5;95
19/01/2024;8:50;27.1;8.13;2.45;116
22/01/2024;9:00;25.9;8.4;2.48;88
23/01/2024;9:00;25.8;8.33;1.55;91
24/01/2024;9:00;25.9;8.3;1.59;88
25/01/2024;8:45;24.8;7.39;1.25;89
26/01/2024;9:30;26.2;7.03;2.54;95
29/01/2024;10:20;27.1;7.68;3.32;118
30/01/2024;9:00;27.8;7.06;4.47;128
31/01/2024;9:00;28.6;6.74;4.61;125
01/02/2024;9:00;29;6.74;7.08;146
02/02/2024;9:00;28.8;6.97;6.67;137
05/02/2024;9:50;26.1;6.82;3.25;124
06/02/2024;8:50;27.4;6.45;3.83;102
07/02/2024;9:50;28.5;6.46;3.15;103
08/02/2024;9:26;27.6;6.68;2.51;126
09/02/2024;9:00;27.4;6.73;2.91;110
12/02/2024;9:15;29.2;6.72;6.45;89
13/02/2024;9:20;27.1;6.63;3.87;117
14/02/2024;9:10;26.1;6.71;3.72;131
15/02/2024;9:00;26.1;6.57;2.7;136
16/02/2024;8:40;25.9;6.57;2.85;103
19/02/2024;9:00;25.9;6.66;2.85;114
20/02/2024;8:45;26.6;6.37;1.94;106
21/02/2024;8:45;26.7;6.5;2.74;106
22/02/2024;9:15;26.8;6.56;1.74;175
23/02/2024;12:07;28.2;6.58;2.13;163
26/02/2024;9:00;24.2;6.49;2.33;93
27/02/2024;9:15;24.6;6.53;2.09;91
28/02/2024;9:00;25.6;6.38;1.47;129
29/02/2024;9:00;26.6;6.44;3.45;102
01/03/2024;12:30;25.9;6.75;2.03;126
04/03/2024;9:30;25.1;6.19;2.63;132
05/03/2024;9:00;25.6;6.25;5.87;119
06/03/2024;9:00;24.6;6.29;2.43;98
07/03/2024;9:00;24.2;6.27;2.9;95
08/03/2024;9:00;24.8;6.39;7.08;112
11/03/2024;9:30;25.8;6.36;4.81;116
12/03/2024;9:00;25;6.26;3.27;93
13/03/2024;10:30;24.9;6.07;2.8;98
14/03/2024;8:00;25;6.02;5.51;94
18/03/2024;8:40;24.2;6.02;3.32;75
19/03/2024;8:45;24.8;6.26;6.93;90
20/03/2024;9:10;25.8;6.12;5.11;91
21/03/2024;8:45;23.9;6.18;3.14;164
22/03/2024;8:50;24.5;6.17;1.95;75
25/03/2024;9:00;24.1;6.15;1.92;151
26/03/2024;10:00;23.8;6.12;5.7;132
27/03/2024;8:50;23.9;6.12;4.15;87
28/03/2024;10:00;24.1;7.37;2.1;83
01/04/2024;9:00;23.8;7.39;2.75;139
02/04/2024;8:45;22.3;7;2.02;104
03/04/2024;8:50;22.4;7.24;4.36;124
04/04/2024;10:00;22.7;7.27;3.36;133
05/04/2024;9:00;22.8;7.12;3.65;117
08/04/2024;9:00;22.7;7.21;3.27;185
09/04/2024;8:50;23.1;7.17;1.64;102
10/04/2024;9:00;21.5;7.38;3.94;110
11/04/2024;8:50;29.2;7.21;1.66;125
12/04/2024;8:45;20.1;7.41;2.66;170
15/04/2024;9:00;21.8;7.91;1.72;119
